"setA","setB","padj","pval","odds.ratio","jaccard.index","A.nCells","B.nCells","AB.intersect","A.total.counts","B.total.counts","B.avg_in.A","B.avg_in_all.B"
"Vmn2r7","Ddit3",1.74275115389519e-207,1.5732776819911e-211,7.36136763760153,0.160741493143728,1160,3411,633,32978,28328,8.11848341232228,6.03518029903254
"Vmn2r1","Emx2",9.67122518951796e-197,9.16728636207152e-201,6.77430738718906,0.1176977796939,1329,9041,1092,32462,65125,7.75457875457875,6.07919477933857
"Vmn2r7","Xbp1",9.60372416519619e-195,9.5367932164408e-199,7.0985365125549,0.159957058507783,1160,3162,596,32978,24069,4.74161073825503,4.03573687539532
"Vmn2r1","Foxg1",4.49616371561053e-189,4.66777549647213e-193,8.4891041508419,0.105500530597807,1329,11172,1193,32462,76864,7.29253981559095,6.01942355889724
"Vmn2r1","Nhlh1",3.31426565598138e-187,3.59036470152895e-191,7.47855203143888,0.108630393996248,1329,10489,1158,32462,102177,10.5777202072539,8.92983125178759
"Vmn2r1","Mef2b",8.11303713833679e-184,9.15510817076606e-188,5.69606165292712,0.124432677760968,1329,7590,987,32462,61600,7.90780141843972,7.03860342555995
"Vmn2r7","Atf6b",1.41456017209286e-177,1.6601020327526e-181,7.06383998514926,0.162382445141066,1160,2548,518,32978,20137,4.39189189189189,3.90816326530612
"Vmn2r2","Xbp1",1.88672567945405e-177,2.29938943709869e-181,7.22408342924557,0.146341463414634,1021,3162,534,26099,24069,4.77153558052434,4.03573687539532
"Vmn2r1","Ebf3",5.66499543369321e-177,7.15974579060638e-181,7.16236329121552,0.10605229475224,1329,10769,1160,32462,73103,7.32413793103448,5.84538954406166
"Vmn2r2","Atf6b",4.35272700430113e-175,5.69769811526075e-179,7.66761143014443,0.155390093881515,1021,2548,480,26099,20137,4.39583333333333,3.90816326530612
"Vmn2r7","Dlx3",6.0564541187852e-175,8.20124325477358e-179,6.16193728566953,0.144880427211516,1160,3771,624,32978,26221,4.74358974358974,4.28851763457969
"Vmn2r2","Sp8",9.54884429711391e-174,1.33614168386655e-177,21.4551727788156,0.183704842428901,1021,519,239,26099,4736,4.80334728033473,4.35260115606936
"Vmn2r1","Ddit3",9.6567065160427e-169,1.3948227373044e-172,5.57594125419812,0.154970760233918,1329,3411,636,32462,28328,5.97955974842767,6.03518029903254
"Vmn2r1","Pura",1.26380411561589e-168,1.88249448485738e-172,5.07532874416497,0.133081046988332,1329,5857,844,32462,38339,4.91943127962085,4.53576916510159
